,title,author,url,category,id
0,The Religious System of the Amazulu,Henry Callaway,https://sacred-texts.com/afr/rsa/index.htm,African,rsa
1,Specimens of Bushman Folklore,W.H.I. Bleek,https://sacred-texts.com/afr/sbf/index.htm,African,sbf
2,South African Folk-Tales,James A. Honey,https://sacred-texts.com/afr/saft/index.htm,African,saft
3,Kaffir (Xhosa) Folk-Lore,George McCall Theal,https://sacred-texts.com/afr/xft/index.htm,African,xft
4,Myths of Ífè,John Wyndham,https://sacred-texts.com/afr/ife/index.htm,African,ife
5,Notes on the Folklore of the Fjort,R. E. Dennett,https://sacred-texts.com/afr/fjort/index.htm,African,fjort
6,At the Back of the Black Man’s Mind,R. E. Dennett,https://sacred-texts.com/afr/mind/index.htm,African,mind
7,Folk Stories from Southern Nigeria,Elphinstone Dayrell,https://sacred-texts.com/afr/fssn/index.htm,African,fssn
8,Fetichism in West Africa,Robert Hamill Nassau,https://sacred-texts.com/afr/fiwa/index.htm,African,fiwa
9,Hausa Folklore,Maalam Shaihu,https://sacred-texts.com/afr/hausa/index.htm,African,hausa
10,Woman’s Mysteries of a Primitive People,D. Amaury Talbot,https://sacred-texts.com/afr/wmp/index.htm,African,wmp
11,The Yoruba Speaking Peoples,A.B. Ellis,https://sacred-texts.com/afr/yor/index.htm,African,yor
12,Yoruba Legends,M. I. Ogumefu,https://sacred-texts.com/afr/yl/index.htm,African,yl
13,Religion and Myth,James Macdonald,https://sacred-texts.com/afr/ram/index.htm,African,ram
14,Drums and Shadows,Mary Granger,https://sacred-texts.com/afr/das/index.htm,African,das
15,Jamaica Anansi Stories,Martha Warren Beckwith,https://sacred-texts.com/afr/jas/index.htm,African,jas
16,The Kebra Nagast,E. A. Wallis Budge,https://sacred-texts.com/afr/kn/index.htm,African,kn
17,The Holy Piby,Robert Athlyi Rogers,https://sacred-texts.com/afr/piby/index.htm,African,piby
18,The Royal Parchment Scroll of Black Supremacy,Fitz Balintine Pettersburg,https://sacred-texts.com/afr/rps/index.htm,African,rps
19,The Promised Key,G.G. Maragh,https://sacred-texts.com/afr/tpk/index.htm,African,tpk
20,The Wisdom of Rastafari,by Haile Selassie,https://sacred-texts.com/afr/rasta/wisdom.htm,African,rasta/
21,Last of the Voudoos,none provided,https://sacred-texts.com/afr/hearn/lastvdu.htm,African,hearn/l
22,New Orleans Superstitions,none provided,https://sacred-texts.com/afr/hearn/nos.htm,African,hea
23,Voodoo and Obeahs,Joseph J. Williams,https://sacred-texts.com/afr/vao/index.htm,African,vao
24,Psychic Phenomena of Jamaica,Joseph J. Williams,https://sacred-texts.com/afr/ppj/index.htm,African,ppj
25,The Negro,W.E.B. Du Bois,https://sacred-texts.com/afr/dbn/index.htm,African,dbn
26,Wonderful Ethiopians of the Ancient Cushite Empire,Drusilla Dunjee Houston,https://sacred-texts.com/afr/we/index.htm,African,we
27,Stolen Legacy,George G.M. James,https://sacred-texts.com/afr/stle/index.htm,African,stle
28,"Friar Bacon: His Discovery of the Miracles Of Art, Nature, And Magick",none provided,https://sacred-texts.com/aor/bacon/miracle.htm,Age of Reason,bacon/m
29,The Heroic Enthusiasts,none provided,https://sacred-texts.com/aor/bruno/the/index.htm,Age of Reason,bruno/the
30,The Da Vinci Notebooks,Leonardo Da Vinci,https://sacred-texts.com/aor/dv/index.htm,Age of Reason,dv
31,Works of Spinoza,none provided,https://sacred-texts.com/phi/spinoza/index.htm,Age of Reason,spinoza
32,Common Sense,none provided,https://sacred-texts.com/aor/paine/cs/index.htm,Age of Reason,paine/cs
33,Rights of Man,none provided,https://sacred-texts.com/aor/paine/cs/index.htm,Age of Reason,paine/cs
34,Age of Reason,none provided,https://sacred-texts.com/aor/paine/aor/index.htm,Age of Reason,paine/aor
35,Origin of Species,none provided,https://sacred-texts.com/aor/darwin/origin/index.htm,Age of Reason,darwin/origin
36,What is Man,none provided,https://sacred-texts.com/aor/twain/wim.txt,Age of Reason,twa
37,The War Prayer,none provided,https://sacred-texts.com/aor/twain/warpray.htm,Age of Reason,twain/w
38,Thou Shalt Not Kill,none provided,https://sacred-texts.com/aor/twain/notkill.htm,Age of Reason,twain/n
39,The Fly,none provided,https://sacred-texts.com/aor/twain/thefly.htm,Age of Reason,twain/
40,Letters From The Earth,none provided,https://sacred-texts.com/aor/twain/letearth.htm,Age of Reason,twain/le
41,Volume I: Lectures,none provided,https://sacred-texts.com/aor/ing/vol01/index.htm,Age of Reason,ing/vol01
42,Volume II: Lectures,none provided,https://sacred-texts.com/aor/ing/vol02/index.htm,Age of Reason,ing/vol02
43,Facing Life Fearlessly,none provided,https://sacred-texts.com/aor/darrow/facing.htm,Age of Reason,darrow/
44,Absurdities of the Bible,none provided,https://sacred-texts.com/aor/darrow/bibabs.htm,Age of Reason,darrow/
45,Why I Am An Agnostic,none provided,https://sacred-texts.com/aor/darrow/whyagn.htm,Age of Reason,darrow/
46,On prayer; purpose in nature; meaning of life; the soul; a personal God,none provided,https://sacred-texts.com/aor/einstein/einprayr.htm,Age of Reason,einstein/ei
47,Conversation on Religion and Antisemitism,none provided,https://sacred-texts.com/aor/einstein/einbucky.htm,Age of Reason,einstein/ei
48,Religion and Science,none provided,https://sacred-texts.com/aor/einstein/einsci.htm,Age of Reason,einstein/
49,The Hermetic Museum,Arthur Edward Waite,https://sacred-texts.com/alc/hermmuse/index.htm,Alchemy,hermmuse
50,Alchemy Rediscovered and Restored,A. Cockren,https://sacred-texts.com/alc/arr/index.htm,Alchemy,arr
